Price,Build Year,Facades,Habitable Surface,Land Surface,Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Surface,Kitchen Type,Furnished,Fireplace Count,Terrace,Terrace Surface,Garden Surface,Swimming Pool,State of Building,Living Surface,EPC,Consumption Per m2,Sea view,Parking count inside,Parking count outside,Municipality,Province
223500,,,25.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
223500,,,25.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
223500,,,25.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
223500,,,25.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
223500,,,25.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
230500,,,31.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
230500,,,24.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
230500,,,29.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
230500,,,31.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
230500,,,23.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
230500,,,25.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
230500,,,25.0,,APARTMENT,1.0,1.0,1.0,3.0,,INSTALLED,0,,0,,,,,,,,,,,BRUSSEL,BRUSSEL
