Price,Facades,Habitable Surface,Type,Bedroom Count,Bathroom Count,Toilet Count,Room Count,Kitchen Type,Furnished,Terrace,Terrace Surface,State of Building,Living Surface,EPC,Consumption Per m2,Municipality,Province,APARTMENT,HOUSE
295191,4.0,81.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,19.0,3.0,35.20338983050848,5.0,196.69760259179267,WILLEBROEK,ANTWERPEN,1,0
249000,2.0,96.0,APARTMENT,3.0,1.0,1.0,5.0,1.0,0,0,17.79706877113867,3.0,33.0,5.0,122.0,ANTWERPEN,ANTWERPEN,1,0
285000,2.0,96.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,0,17.79706877113867,3.0,35.20338983050848,1.0,574.0,ANTWERPEN,ANTWERPEN,1,0
167000,2.0,38.0,APARTMENT,1.0,1.0,1.0,3.0,2.0,0,1,3.0,4.0,26.0,4.0,256.0,ANTWERPEN,ANTWERPEN,1,0
167000,2.0,38.0,APARTMENT,1.0,1.0,1.0,3.0,2.0,0,1,3.0,4.0,26.0,4.0,256.0,ANTWERPEN,ANTWERPEN,1,0
189000,2.0,90.0,APARTMENT,2.0,1.0,1.0,4.0,2.0,0,1,12.0,3.0,28.0,4.0,246.0,ANTWERPEN,ANTWERPEN,1,0
221600,2.0,69.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,5.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
238400,2.0,80.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,10.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
242900,2.0,80.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,10.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
244000,2.0,80.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,8.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
266400,2.0,80.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,9.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
288900,2.0,86.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,12.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
309800,2.0,86.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,12.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
311600,2.0,86.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,12.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
320700,2.0,87.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,12.0,3.0,35.20338983050848,5.0,196.69760259179267,TURNHOUT,ANTWERPEN,1,0
229352,2.0,77.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,10.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
234941,2.0,71.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,17.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
235820,2.0,77.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,13.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
236133,2.0,76.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,5.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
236791,2.0,79.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,12.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
240474,2.0,77.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,9.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
242854,2.0,77.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,8.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
251823,2.0,88.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,6.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
257914,2.0,79.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,13.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
257914,2.0,79.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,13.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
260165,2.0,89.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,9.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
260346,2.0,90.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,7.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
262947,2.0,89.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,9.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
265552,2.0,90.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,7.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
272471,2.0,82.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,15.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
281286,2.0,89.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,1,11.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
300411,2.0,96.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,12.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
303324,2.0,92.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,12.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
315505,2.0,103.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,10.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
365126,2.0,126.0,APARTMENT,3.0,1.0,2.0,6.0,1.0,0,1,8.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
372611,2.0,130.0,APARTMENT,3.0,1.0,2.0,6.0,1.0,0,1,12.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
394026,2.0,129.0,APARTMENT,3.0,1.0,2.0,6.0,1.0,0,1,18.0,3.0,35.20338983050848,5.0,196.69760259179267,LIER,ANTWERPEN,1,0
235000,2.0,84.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,0,17.79706877113867,4.0,35.20338983050848,4.0,246.0,SCHELLE,ANTWERPEN,1,0
185000,2.0,111.18600531443757,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,0,17.79706877113867,1.0,35.20338983050848,1.0,502.0,ZWIJNDRECHT,ANTWERPEN,1,0
229000,2.0,98.0,APARTMENT,3.0,1.0,1.0,4.0,1.0,0,0,17.79706877113867,1.0,36.0,4.0,203.0,ANTWERPEN,ANTWERPEN,1,0
249900,2.0,89.0,APARTMENT,2.0,1.0,1.0,4.0,1.0,0,1,2.0,5.0,30.0,5.0,175.0,ANTWERPEN,ANTWERPEN,1,0
205000,2.0,62.0,APARTMENT,1.0,1.0,1.0,3.0,1.0,0,0,17.79706877113867,4.0,35.20338983050848,5.0,119.0,ANTWERPEN,ANTWERPEN,1,0
