Postcode,Plaatsnaam,Deelgemeente,Hoofdgemeente,Provincie
1450,Saint-Géry,Ja,CHASTRE,WAALS-BRABANT
1457,Nil-Saint-Vincent-Saint-Martin,Ja,WALHAIN,WAALS-BRABANT
1457,Tourinnes-Saint-Lambert,Ja,WALHAIN,WAALS-BRABANT
1457,Walhain-Saint-Paul,Ja,WALHAIN,WAALS-BRABANT
1460,Ittre,Neen,ITTRE,WAALS-BRABANT
1460,Virginal-Samme,Ja,ITTRE,WAALS-BRABANT
1461,Haut-Ittre,Ja,ITTRE,WAALS-BRABANT
1470,Baisy-Thy,Ja,GENAPPE,WAALS-BRABANT
1470,Bousval,Ja,GENAPPE,WAALS-BRABANT
1470,Genappe,Neen,GENAPPE,WAALS-BRABANT
1471,Loupoigne,Ja,GENAPPE,WAALS-BRABANT
1472,Vieux-Genappe,Ja,GENAPPE,WAALS-BRABANT
1473,Glabais,Ja,GENAPPE,WAALS-BRABANT
1474,Ways,Ja,GENAPPE,WAALS-BRABANT
1476,Houtain-le-Val,Ja,GENAPPE,WAALS-BRABANT
1480,Clabecq,Ja,TUBIZE,WAALS-BRABANT
1480,Oisquercq,Ja,TUBIZE,WAALS-BRABANT
1480,Saintes,Ja,TUBIZE,WAALS-BRABANT
1480,Tubize,Neen,TUBIZE,WAALS-BRABANT
1490,Court-Saint-Etienne,Neen,COURT-SAINT-ETIENNE,WAALS-BRABANT
1495,Marbais,Ja,VILLERS-LA-VILLE,WAALS-BRABANT
1495,Mellery,Ja,VILLERS-LA-VILLE,WAALS-BRABANT
1495,Sart-Dames-Avelines,Ja,VILLERS-LA-VILLE,WAALS-BRABANT
1495,Tilly,Ja,VILLERS-LA-VILLE,WAALS-BRABANT
1495,Villers-la-Ville,Neen,VILLERS-LA-VILLE,WAALS-BRABANT
1500,Halle,Neen,HALLE,VLAAMS-BRABANT
1501,Buizingen,Ja,HALLE,VLAAMS-BRABANT
1502,Lembeek,Ja,HALLE,VLAAMS-BRABANT
1540,Herfelingen,Ja,HERNE,VLAAMS-BRABANT
1540,Herne,Neen,HERNE,VLAAMS-BRABANT
1541,Sint-Pieters-Kapelle,Ja,HERNE,VLAAMS-BRABANT
1547,Bever,Neen,BEVER,VLAAMS-BRABANT
1560,Hoeilaart,Neen,HOEILAART,VLAAMS-BRABANT
1570,Galmaarden,Neen,GALMAARDEN,VLAAMS-BRABANT
1570,Tollembeek,Ja,GALMAARDEN,VLAAMS-BRABANT
1570,Vollezele,Ja,GALMAARDEN,VLAAMS-BRABANT
1600,Oudenaken,Ja,SINT-PIETERS-LEEUW,VLAAMS-BRABANT
1600,Sint-Laureins-Berchem,Ja,SINT-PIETERS-LEEUW,VLAAMS-BRABANT
1600,Sint-Pieters-Leeuw,Neen,SINT-PIETERS-LEEUW,VLAAMS-BRABANT
1601,Ruisbroek,Ja,SINT-PIETERS-LEEUW,VLAAMS-BRABANT
1602,Vlezenbeek,Ja,SINT-PIETERS-LEEUW,VLAAMS-BRABANT
1620,Drogenbos,Neen,DROGENBOS,VLAAMS-BRABANT
1630,Linkebeek,Neen,LINKEBEEK,VLAAMS-BRABANT
1640,Sint-Genesius-Rode,Neen,SINT-GENESIUS-RODE,VLAAMS-BRABANT
1650,Beersel,Neen,BEERSEL,VLAAMS-BRABANT
1651,Lot,Ja,BEERSEL,VLAAMS-BRABANT
1652,Alsemberg,Ja,BEERSEL,VLAAMS-BRABANT
1653,Dworp,Ja,BEERSEL,VLAAMS-BRABANT
